scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Paullinia,Paullinia fuscescens,8.733333,-83.333333,extant,12/17/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia alata,8.733333,-83.333333,extant,11/10/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,8.733333,-83.333333,extant,11/10/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia alata,8.733333,-83.333333,extant,12/17/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia alata,8.7333,-83.3333,extant,12/17/93,GBIF,US,US,US,Botany,3271,1,NA,
Paullinia,Paullinia clavigera,9.000278,-83.327778,extant,7/1/76,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia serjaniifolia,8.75,-83.32,extant,1/1/83,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia costaricensis,9.75,-83.316667,extant,8/16/95,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia costaricensis,9.75,-83.31666,extant,8/16/95,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia dasystachya,8.416667,-83.313889,extant,10/29/90,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia dasystachya,8.41,-83.31,extant,10/29/90,MO,CR,CR,CR,NA,280,1,NA,
Paullinia,Paullinia rugosa,8.4,-83.306944,extant,7/16/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,8.384722,-83.302778,extant,9/11/91,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,8.4,-83.3,extant,7/16/93,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia costaricensis,9.23,-83.3,extant,3/9/93,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia dodgei,8.8,-83.3,extant,5/25/86,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia costaricensis,9.23,-83.3,extant,3/9/93,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia cururu,8.99,-83.3,extant,7/1/91,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia cururu,8.99,-83.3,extant,7/1/91,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia cururu,8.991667,-83.3,extant,7/1/91,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia costaricensis,9.233333,-83.3,extant,3/9/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia rugosa,8.4,-83.3,extant,7/16/93,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia cururu,8.982614,-83.290293,extant,5/8/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia cururu,8.982614,-83.290293,extant,5/8/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia cururu,8.982614,-83.290293,extant,5/8/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fuscescens,9.6,-83.29,extant,11/4/84,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia fuscescens,8.736111,-83.288889,extant,11/20/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fuscescens,8.73611,-83.28888,extant,11/20/93,MO,"INB, MO","INB, MO","INB, MO",NA,280,1,NA,
Paullinia,Paullinia fournieri,8.8666667,-83.2833333,extant,2/23/92,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia fournieri,8.866667,-83.283333,extant,2/23/92,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia costaricensis,8.4778,-83.2833,extant,2/8/11,GBIF,US,US,US,Botany,3271,1,NA,
Paullinia,Paullinia fuscescens,8.73,-83.28,extant,11/20/93,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia bracteosa,9.619889,-83.267667,extant,7/22/07,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia clavigera,8.983333,-83.266667,extant,9/16/92,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia clavigera,8.972222,-83.2625,extant,10/16/92,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia clavigera,8.97,-83.26,extant,10/16/92,MO,CR,CR,CR,NA,280,1,NA,
Paullinia,Paullinia clavigera,8.98,-83.26,extant,9/16/92,MO,CR,CR,CR,NA,280,1,NA,
Paullinia,Paullinia fuscescens,8.766667,-83.25,extant,11/8/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fuscescens,8.76,-83.25,extant,11/8/93,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia capreolata,8.691389,-83.231389,extant,6/10/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,8.691389,-83.231389,extant,6/10/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,8.691389,-83.231389,extant,6/10/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia serjaniifolia,8.7,-83.231389,extant,5/21/96,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fuscescens,8.691389,-83.231389,extant,6/10/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,8.691389,-83.231389,extant,6/10/00,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia faginea,8.6913889,-83.2313889,extant,6/10/00,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia brenesii,9.283333,-83.230833,extant,9/23/89,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia brenesii,9.28,-83.23,extant,9/23/89,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia brenesii,9.28,-83.23,extant,9/23/89,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia faginea,8.68,-83.23,extant,10/6/00,GBIF,MA,MA,MA,MA,3753,1,NA,
Paullinia,Paullinia faginea,8.69,-83.23,extant,6/10/00,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
